symbol,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiments
AAPL,"iPhone 15 Wireless Charging Is Now Broken In GM Cars After Issues With BMW - Apple  ( NASDAQ:AAPL ) , BMW  ( OTC:BMWYY ) ",https://www.benzinga.com/news/23/11/35820909/iphone-15-wireless-charging-is-now-broken-in-gm-cars-after-issues-with-bmw,20231116T075936,['Rounak Jain'],"iPhone 15's wireless charging troubles don't seem to end. GM car owners are now reporting that wireless charging is broken on their iPhone 15. What Happened: Less than a month after BMW AG BMWYY car owners reported wireless charging issues with Apple Inc.'s AAPL iPhone 15 series, it's the turn of ...",https://cdn.benzinga.com/files/images/story/2023/iPhone-15-Pro_0.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",-0.246579,Somewhat-Bearish,[]
AAPL,US Questions Apple After Cupertino Giant Abruptly Pulls The Plug On Jon Stewart Show Following China Content - Apple  ( NASDAQ:AAPL ) ,https://www.benzinga.com/general/entertainment/23/11/35820266/us-questions-apple-after-cupertino-giant-abruptly-pulls-the-plug-on-jon-stewart-show-follow,20231116T054311,['Benzinga Neuro'],"In an unexpected turn of events, Apple Inc. AAPL is facing scrutiny from U.S. lawmakers concerning the abrupt dismissal of Jon Stewart's television program from its streaming platform, Apple TV+. The lawmakers have raised concerns over potential interference from China in the decision-making ...",https://cdn.benzinga.com/files/images/story/2023/Poznan--Pol---Feb-04--2020-Flat-screen-T.jpeg?width=1200&height=800&fit=crop,Benzinga,General,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.120721,Neutral,[]
AAPL,"This Isn't Last Year's Stock Market: Investor Says Rally Should Continue Throughout End Of Year, Into 2024 - Microsoft  ( NASDAQ:MSFT ) , Apple  ( NASDAQ:AAPL ) , SPDR S&P 500  ( ARCA:SPY ) ",https://www.benzinga.com/markets/23/11/35814076/this-isnt-last-years-stock-market-investor-says-rally-should-continue-throughout-end-of-year-into-20,20231115T213551,['Aaron Bry'],"NewEdge Wealth Chief Investment Officer Cameron Dawson joined Benzinga's Pre-Market Prep show Wednesday morning to discuss the recent rally in the stock market. Dawson said that unlike last year when the market sold off toward the end of the year, this ""Santa Claus rally"" should last throughout ...",https://cdn.benzinga.com/files/images/story/2023/11/15/shutterstock_2314332239.jpg?width=1200&height=800&fit=crop,Benzinga,General,www.benzinga.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.77141'}, {'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}]",0.116144,Neutral,[]
AAPL,Stock Market Today: Stocks Keep Climbing After Latest Inflation Data,https://www.kiplinger.com/investing/stocks/stock-market-today-stocks-keep-climbing-after-latest-inflation-data,20231115T211038,['Karee Venema'],"Another encouraging reading on inflation and some bad-news-is-good-news retail sales data helped stocks open higher Wednesday, with the main indexes building on Tuesday's blowout gains.",https://cdn.mos.cms.futurecdn.net/SmK3VJNWDm7z7ycgbpPZ35-415-80.jpg,Kiplinger,n/a,www.kiplinger.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.682689'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.333333'}, {'topic': 'Financial Markets', 'relevance_score': '0.87644'}, {'topic': 'Earnings', 'relevance_score': '0.714479'}, {'topic': 'Technology', 'relevance_score': '0.333333'}, {'topic': 'Finance', 'relevance_score': '0.333333'}]",0.158511,Somewhat-Bullish,[]
AAPL,REI accused of widespread labor law violations at unionized US stores,https://www.reuters.com/business/retail-consumer/rei-accused-widespread-labor-law-violations-unionized-us-stores-2023-11-15/,20231115T204000,['Daniel Wiessner'],"A woman jogs past an REI store that is closed on Black Friday with the San Gabriel Mountains visible in the distance, in Arcadia, California, November 27, 2015. REUTERS/David McNew/File Photo Acquire Licensing Rights",https://s3.amazonaws.com/arc-authors/reuters/bdb4e34b-8122-4c57-94e1-851c4d54423b.png,Reuters,Business,www.reuters.com,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}]",-0.021593,Neutral,[]
AAPL,"Google Black Friday Deals Are Here: Get Discounts Of Up To $400 On Pixel 8, Pixel Fold, Pixel Buds Pro And More - Alphabet  ( NASDAQ:GOOG ) , Apple  ( NASDAQ:AAPL ) ",https://www.benzinga.com/news/23/11/35813508/google-black-friday-deals-are-here-get-discounts-of-up-to-400-on-pixel-8-pixel-fold-pixel-buds-pro-a,20231115T195040,['Rounak Jain'],"After Apple Inc. AAPL, Google is joining the Black Friday sale fervor with some eye-watering discounts of up to $400 on the Pixel Fold, Pixel 8, and several other Google products. What Happened: Google Black Friday deals are finally here, offering discounts on everything from the latest Pixel 8 ...",https://cdn.benzinga.com/files/images/story/2023/Pixel-8-series.jpeg?width=1200&height=800&fit=crop,Benzinga,News,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.383187,Bullish,[]
AAPL,Laptop market is driven by the increasing application of laptops in educational institutions - Technavio,https://www.benzinga.com/pressreleases/23/11/n35812912/laptop-market-is-driven-by-the-increasing-application-of-laptops-in-educational-institutions-techn,20231115T191500,['PRNewswire'],"NEW YORK, Nov. 15, 2023 /PRNewswire/ -- In a recent report by Technavio, titled Laptop Market Analysis North America, Europe, APAC, South America, Middle East and Africa - US, China, Japan, Germany, UK - Size and Forecast 2024-2028,"" the significance of the laptop market is revealed.",https://www.benzinga.com/next-assets/images/schema-image-default.png,Benzinga,General,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '1.0'}]",0.43824,Bullish,[]
AAPL,"Market Clubhouse Morning Memo - November 15th, 2023  ( Trade Strategy For SPY, QQQ, AAPL, MSFT, NVDA, META, TSLA, And GOOGL )  - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) ",https://www.benzinga.com/trading-ideas/23/11/35808078/market-clubhouse-morning-memo-november-15th-2023-trade-strategy-for-spy-qqq-aapl-msft-nvda-meta-tsl,20231115T155337,['RIPS'],"Good Morning Traders! In today's Market Clubhouse Morning Memo, we will discuss SPY, QQQ, AAPL, MSFT, NVDA, META, TSLA, and GOOGL. Our proprietary formula, exclusive to Market Clubhouse, dictates these price levels. This dynamic equation takes into account price, volume, and options flow.",https://cdn.benzinga.com/files/market-clubhouse-morning-memo_109.png?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.996023'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.220593,Somewhat-Bullish,[]
AAPL,Wholesale Inflation Lower Than Expected But Retail Sales Data Creates A Rethink In The Stock Market - Target  ( NYSE:TGT ) ,https://www.benzinga.com/markets/23/11/35807623/wholesale-inflation-lower-than-expected-but-retail-sales-data-creates-a-rethink-in-the-stock-market,20231115T153734,['The Arora Report'],"To gain an edge, this is what you need to know today. Please click here for a chart of SPDR S&P 500 ETF Trust SPY which represents the benchmark stock market index S&P 500 ( SPX ) . Headline PPI came at -0.5% vs. 0.1% consensus. This is the biggest decline since April 2020.",https://cdn.benzinga.com/files/yiorgos-ntrahas-mcauhlgirvs-unsplash_8_9.jpg?width=1200&height=800&fit=crop,Benzinga,Trading,www.benzinga.com,"[{'topic': 'Technology', 'relevance_score': '0.2'}, {'topic': 'Finance', 'relevance_score': '0.2'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.2'}, {'topic': 'Financial Markets', 'relevance_score': '0.999894'}, {'topic': 'Manufacturing', 'relevance_score': '0.2'}, {'topic': 'Earnings', 'relevance_score': '0.795202'}, {'topic': 'Real Estate & Construction', 'relevance_score': '0.2'}]",0.242765,Somewhat-Bullish,[]
AAPL,Better Buy: Amazon vs. Apple,https://www.fool.com/investing/2023/11/15/better-buy-amazon-vs-apple/,20231115T150000,['Dani Cook'],"These companies dominate their respective markets, but one is offering investors far more value.",https://media.ycharts.com/charts/8641dded7247914becaaac738035980a.png,Motley Fool,n/a,www.fool.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.503496'}, {'topic': 'Earnings', 'relevance_score': '0.650727'}, {'topic': 'Technology', 'relevance_score': '0.5'}]",0.322069,Somewhat-Bullish,[]
